External_ID,id,city_id,other_error
res_partner_19588,,,"new row for relation ""res_partner"" violates check constraint ""res_partner_check_name""
DETAIL:  Failing row contains (16499, null, 1, null, null, null, null, null, en_US, null, null, null, null, null, null, null, t, t, f, f, null, contact, null, null, null, null, null, null, null, null, null, f, null, 0, f, null, null, null, null, 1, 2018-01-18 17:14:11.766102, 1, 2018-01-18 17:14:11.766102, null, 0, f, null, null, null, null, null, null, null, null, null, null, null, no-message, null, no-message, null, no-message, null, null, null, null, null, null, f, no-message, null, null, null, 1, null).
"
res_partner_19587,,,"new row for relation ""res_partner"" violates check constraint ""res_partner_check_name""
DETAIL:  Failing row contains (16500, null, 1, null, null, null, null, null, en_US, null, null, null, null, null, null, null, t, t, f, f, null, contact, null, null, null, null, null, null, null, null, null, f, null, 0, f, null, null, null, null, 1, 2018-01-18 17:14:11.947782, 1, 2018-01-18 17:14:11.947782, 972, 0, f, null, null, null, null, null, null, null, null, null, null, null, no-message, null, no-message, null, no-message, null, null, null, null, null, null, f, no-message, null, null, null, 1, null).
"
res_partner_16254,,,"new row for relation ""res_partner"" violates check constraint ""res_partner_check_name""
DETAIL:  Failing row contains (16501, null, 1, null, null, null, null, null, en_US, null, null, null, null, null, null, null, t, t, f, f, null, contact, null, null, null, null, null, null, null, null, null, f, null, 0, f, null, null, null, null, 1, 2018-01-18 17:15:31.943058, 1, 2018-01-18 17:15:31.943058, null, 0, f, null, null, null, null, null, null, null, null, null, null, null, no-message, null, no-message, null, no-message, null, null, null, null, null, null, f, no-message, null, null, null, 1, null).
"
res_partner_15774,,,"new row for relation ""res_partner"" violates check constraint ""res_partner_check_name""
DETAIL:  Failing row contains (16502, null, 1, null, null, null, null, null, en_US, null, null, null, null, null, null, null, t, t, f, f, null, contact, null, null, null, null, null, null, null, null, null, f, null, 0, f, null, null, null, null, 1, 2018-01-18 17:16:23.700652, 1, 2018-01-18 17:16:23.700652, null, 0, f, null, null, null, null, null, null, null, null, null, null, null, no-message, null, no-message, null, no-message, null, null, null, null, null, null, f, no-message, null, null, null, 1, null).
"
res_partner_15947,,,"new row for relation ""res_partner"" violates check constraint ""res_partner_check_name""
DETAIL:  Failing row contains (16503, null, 1, null, null, null, null, null, en_US, null, null, null, null, null, null, null, t, t, f, f, null, contact, null, null, null, null, null, null, null, null, null, f, null, 0, f, null, null, null, null, 1, 2018-01-18 17:16:41.579915, 1, 2018-01-18 17:16:41.579915, null, 0, f, null, null, null, null, null, null, null, null, null, null, null, no-message, null, no-message, null, no-message, null, null, null, null, null, null, f, no-message, null, null, null, 1, null).
"
res_partner_15768,,,"new row for relation ""res_partner"" violates check constraint ""res_partner_check_name""
DETAIL:  Failing row contains (16504, null, 1, null, null, null, null, null, en_US, null, null, null, null, null, null, null, t, t, f, f, null, contact, null, null, null, null, null, null, null, null, null, f, null, 0, f, null, null, null, null, 1, 2018-01-18 17:18:07.997782, 1, 2018-01-18 17:18:07.997782, null, 0, f, null, null, null, null, null, null, null, null, null, null, null, no-message, null, no-message, null, no-message, null, null, null, null, null, null, f, no-message, null, null, null, 1, null).
"
res_partner_16219,,,"new row for relation ""res_partner"" violates check constraint ""res_partner_check_name""
DETAIL:  Failing row contains (16505, null, 1, null, null, null, null, null, en_US, null, null, null, null, null, null, null, t, t, f, f, null, contact, null, null, null, null, null, null, null, null, null, f, null, 0, f, null, null, null, null, 1, 2018-01-18 17:20:37.224017, 1, 2018-01-18 17:20:37.224017, null, 0, f, null, null, null, null, null, null, null, null, null, null, null, no-message, null, no-message, null, no-message, null, null, null, null, null, null, f, no-message, null, null, null, 1, null).
"
res_partner_15913,,,"new row for relation ""res_partner"" violates check constraint ""res_partner_check_name""
DETAIL:  Failing row contains (16506, null, 1, null, null, null, null, null, en_US, null, null, null, null, null, null, null, t, t, f, f, null, contact, null, null, null, null, null, null, null, null, null, f, null, 0, f, null, null, null, null, 1, 2018-01-18 17:20:52.61608, 1, 2018-01-18 17:20:52.61608, null, 0, f, null, null, null, null, null, null, null, null, null, null, null, no-message, null, no-message, null, no-message, null, null, null, null, null, null, f, no-message, null, null, null, 1, null).
"
res_partner_15892,,,"new row for relation ""res_partner"" violates check constraint ""res_partner_check_name""
DETAIL:  Failing row contains (16507, null, 1, null, null, null, null, null, en_US, null, null, null, null, null, null, null, t, t, f, f, null, contact, null, null, null, null, null, null, null, null, null, f, null, 0, f, null, null, null, null, 1, 2018-01-18 17:22:56.017878, 1, 2018-01-18 17:22:56.017878, null, 0, f, null, null, null, null, null, null, null, null, null, null, null, no-message, null, no-message, null, no-message, null, null, null, null, null, null, f, no-message, null, null, null, 1, null).
"
res_partner_16313,,,"new row for relation ""res_partner"" violates check constraint ""res_partner_check_name""
DETAIL:  Failing row contains (16508, null, 1, null, null, null, null, null, en_US, null, null, null, null, null, null, null, t, t, f, f, null, contact, null, null, null, null, null, null, null, null, null, f, null, 0, f, null, null, null, null, 1, 2018-01-18 17:22:59.380378, 1, 2018-01-18 17:22:59.380378, null, 0, f, null, null, null, null, null, null, null, null, null, null, null, no-message, null, no-message, null, no-message, null, null, null, null, null, null, f, no-message, null, null, null, 1, null).
"
