ciiu_id/.id,city_id/.id,tax_id/.id
8543,"Bogota, D.C.",9.66
8544,"Bogota, D.C.",9.66
8552,"Bogota, D.C.",9.66
8553,"Bogota, D.C.",9.66
8559,"Bogota, D.C.",9.66
8560,"Bogota, D.C.",9.66
8610,"Bogota, D.C.",9.66
8720,"Bogota, D.C.",9.66
8730,"Bogota, D.C.",9.66
8790,"Bogota, D.C.",9.66
8810,"Bogota, D.C.",9.66
8890,"Bogota, D.C.",9.66
9321,"Bogota, D.C.",9.66
9511,"Bogota, D.C.",9.66
9512,"Bogota, D.C.",9.66
9521,"Bogota, D.C.",9.66
9522,"Bogota, D.C.",9.66
9523,"Bogota, D.C.",9.66
9524,"Bogota, D.C.",9.66
9529,"Bogota, D.C.",9.66
9601,"Bogota, D.C.",9.66
9602,"Bogota, D.C.",9.66
9603,"Bogota, D.C.",9.66
9609,"Bogota, D.C.",9.66
35202,"Bogota, D.C.",9.66
36002,"Bogota, D.C.",9.66
39001,"Bogota, D.C.",9.66
60202,"Bogota, D.C.",9.66
69102,"Bogota, D.C.",9.66
69202,"Bogota, D.C.",9.66
70102,"Bogota, D.C.",9.66
70202,"Bogota, D.C.",9.66
71102,"Bogota, D.C.",9.66
71202,"Bogota, D.C.",9.66
72102,"Bogota, D.C.",9.66
72202,"Bogota, D.C.",9.66
73202,"Bogota, D.C.",9.66
74102,"Bogota, D.C.",9.66
74902,"Bogota, D.C.",9.66
85232,"Bogota, D.C.",9.66
85511,"Bogota, D.C.",9.66
85512,"Bogota, D.C.",9.66
86211,"Bogota, D.C.",9.66
86221,"Bogota, D.C.",9.66
86911,"Bogota, D.C.",9.66
86921,"Bogota, D.C.",9.66
86991,"Bogota, D.C.",9.66
87101,"Bogota, D.C.",9.66
92001,"Bogota, D.C.",9.66
93291,"Bogota, D.C.",9.66
9411,"Bogota, D.C.",9.66
9499,"Bogota, D.C.",9.66
8511,"Bogota, D.C.",7
8512,"Bogota, D.C.",7
8513,"Bogota, D.C.",7
8521,"Bogota, D.C.",7
8522,"Bogota, D.C.",7
85231,"Bogota, D.C.",7
8530,"Bogota, D.C.",7
6411,"Bogota, D.C.",11.04
6412,"Bogota, D.C.",11.04
6421,"Bogota, D.C.",11.04
6422,"Bogota, D.C.",11.04
6423,"Bogota, D.C.",11.04
6424,"Bogota, D.C.",11.04
6431,"Bogota, D.C.",11.04
6491,"Bogota, D.C.",11.04
6492,"Bogota, D.C.",11.04
6493,"Bogota, D.C.",11.04
6494,"Bogota, D.C.",11.04
6495,"Bogota, D.C.",11.04
6511,"Bogota, D.C.",11.04
6512,"Bogota, D.C.",11.04
6513,"Bogota, D.C.",11.04
6514,"Bogota, D.C.",11.04
6521,"Bogota, D.C.",11.04
6522,"Bogota, D.C.",11.04
6532,"Bogota, D.C.",11.04
6619,"Bogota, D.C.",11.04
6621,"Bogota, D.C.",11.04
6630,"Bogota, D.C.",11.04
6614,"Bogota, D.C.",11.04
6615,"Bogota, D.C.",11.04
64991,"Bogota, D.C.",11.04
66111,"Bogota, D.C.",11.04
1011,Valledupar,5
1012,Valledupar,5
1030,Valledupar,5
1051,Valledupar,5
1052,Valledupar,5
