id,country_id,write_uid,create_uid
res_country_state_601,105,1,1
res_country_state_452,69,1,1
res_country_state_40,235,1,1
res_country_state_146,192,1,1
res_country_state_147,192,1,1
res_country_state_370,110,1,1
res_country_state_525,172,1,1
res_country_state_560,11,1,1
res_country_state_453,69,1,1
res_country_state_47,235,1,1
res_country_state_634,101,1,1
res_country_state_373,110,1,1
res_country_state_84,32,1,1
res_country_state_635,101,1,1
res_country_state_85,32,1,1
res_country_state_603,105,1,1
res_country_state_379,110,1,1
res_country_state_372,110,1,1
res_country_state_87,32,1,1
res_country_state_378,110,1,1
res_country_state_541,39,1,1
res_country_state_149,192,1,1
res_country_state_190,91,1,1
res_country_state_376,110,1,1
res_country_state_475,158,1,1
res_country_state_88,32,1,1
res_country_state_380,110,1,1
res_country_state_479,158,1,1
res_country_state_477,158,1,1
res_country_state_424,69,1,1
res_country_state_382,110,1,1
res_country_state_478,158,1,1
res_country_state_148,192,1,1
res_country_state_454,69,1,1
res_country_state_384,110,1,1
res_country_state_66,235,1,1
res_country_state_374,110,1,1
res_country_state_86,32,1,1
res_country_state_150,192,1,1
res_country_state_476,158,1,1
res_country_state_151,192,1,1
res_country_state_381,110,1,1
res_country_state_288,66,1,1
res_country_state_377,110,1,1
res_country_state_504,157,1,1
res_country_state_375,110,1,1
res_country_state_65,235,1,1
res_country_state_602,105,1,1
res_country_state_383,110,1,1
res_country_state_566,11,1,1
res_country_state_542,39,1,1
res_country_state_4,14,1,1
res_country_state_506,157,1,1
res_country_state_505,157,1,1
res_country_state_191,91,1,1
res_country_state_192,91,1,1
res_country_state_567,11,1,1
res_country_state_386,110,1,1
res_country_state_387,110,1,1
res_country_state_388,110,1,1
res_country_state_193,91,1,1
res_country_state_385,110,1,1
res_country_state_389,110,1,1
res_country_state_636,101,1,1
res_country_state_48,235,1,1
res_country_state_89,32,1,1
res_country_state_604,105,1,1
res_country_state_549,2,1,1
res_country_state_391,110,1,1
res_country_state_390,110,1,1
res_country_state_90,32,1,1
res_country_state_392,110,1,1
res_country_state_92,32,1,1
res_country_state_152,192,1,1
res_country_state_93,32,1,1
res_country_state_91,32,1,1
res_country_state_153,192,1,1
res_country_state_429,69,1,1
res_country_state_572,11,1,1
res_country_state_5,14,1,1
res_country_state_641,101,1,1
res_country_state_154,192,1,1
res_country_state_455,69,1,1
res_country_state_393,110,1,1
res_country_state_194,91,1,1
res_country_state_155,192,1,1
res_country_state_156,192,1,1
res_country_state_158,192,1,1
res_country_state_642,101,1,1
res_country_state_480,158,1,1
res_country_state_49,235,1,1
res_country_state_94,32,1,1
res_country_state_50,235,1,1
res_country_state_458,69,1,1
res_country_state_96,32,1,1
res_country_state_159,192,1,1
res_country_state_640,101,1,1
res_country_state_457,69,1,1
res_country_state_482,158,1,1
res_country_state_550,2,1,1
res_country_state_296,66,1,1
res_country_state_282,66,1,1
res_country_state_396,110,1,1
res_country_state_507,157,1,1
res_country_state_295,66,1,1
res_country_state_543,39,1,1
res_country_state_605,105,1,1
res_country_state_508,157,1,1
res_country_state_195,91,1,1
res_country_state_160,192,1,1
res_country_state_638,101,1,1
res_country_state_398,110,1,1
res_country_state_459,69,1,1
res_country_state_197,91,1,1
res_country_state_509,157,1,1
res_country_state_95,32,1,1
res_country_state_349,110,1,1
res_country_state_157,192,1,1
res_country_state_397,110,1,1
res_country_state_637,101,1,1
res_country_state_196,91,1,1
res_country_state_438,69,1,1
res_country_state_394,110,1,1
res_country_state_643,101,1,1
res_country_state_639,101,1,1
res_country_state_161,192,1,1
res_country_state_526,172,1,1
res_country_state_283,66,1,1
res_country_state_644,101,1,1
res_country_state_198,91,1,1
res_country_state_284,66,1,1
res_country_state_395,110,1,1
res_country_state_162,192,1,1
res_country_state_481,158,1,1
res_country_state_460,69,1,1
res_country_state_575,11,1,1
res_country_state_399,110,1,1
res_country_state_164,192,1,1
res_country_state_510,157,1,1
res_country_state_163,192,1,1
res_country_state_512,157,1,1
res_country_state_528,172,1,1
res_country_state_6,14,1,1
res_country_state_400,110,1,1
res_country_state_461,69,1,1
res_country_state_456,69,1,1
res_country_state_527,172,1,1
res_country_state_511,157,1,1
res_country_state_51,235,1,1
res_country_state_606,105,1,1
res_country_state_404,110,1,1
res_country_state_97,32,1,1
res_country_state_402,110,1,1
res_country_state_462,69,1,1
res_country_state_165,192,1,1
res_country_state_199,91,1,1
res_country_state_403,110,1,1
res_country_state_401,110,1,1
res_country_state_608,105,1,1
res_country_state_483,158,1,1
res_country_state_406,110,1,1
res_country_state_607,105,1,1
res_country_state_166,192,1,1
res_country_state_405,110,1,1
res_country_state_167,192,1,1
res_country_state_52,235,1,1
res_country_state_169,192,1,1
res_country_state_168,192,1,1
res_country_state_556,11,1,1
res_country_state_407,110,1,1
res_country_state_170,192,1,1
res_country_state_610,105,1,1
res_country_state_171,192,1,1
res_country_state_609,105,1,1
res_country_state_551,2,1,1
res_country_state_53,235,1,1
res_country_state_574,11,1,1
res_country_state_463,69,1,1
res_country_state_55,235,1,1
res_country_state_464,69,1,1
res_country_state_408,110,1,1
res_country_state_410,110,1,1
res_country_state_411,110,1,1
res_country_state_409,110,1,1
res_country_state_513,157,1,1
res_country_state_173,192,1,1
